seed,stratum_id,signed_effect,population,model,framing,scale_labels,condition_id,tar_event_member
6004,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.08937198067632846,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.0006038647342995566,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=japan|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.08937198067632846,japan,qwen3.5-9b,neutral,default,population-japan__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-japan__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.06763285024154549,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6001/run/probe_events.jsonl.gz
6002,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.3049516908212558,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6002/run/probe_events.jsonl.gz
6003,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.7149758454106284,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6003/run/probe_events.jsonl.gz
6004,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,0.5791062801932371,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6004/run/probe_events.jsonl.gz
6005,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.3049516908212558,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6005/run/probe_events.jsonl.gz
6006,population=mixed|model=qwen3.5-9b|framing=neutral|scale_labels=default,-0.3556763285024152,mixed,qwen3.5-9b,neutral,default,population-mixed__condition-observed__model-qwen3.5-9b,observed_norms/sweeps/runs/population-mixed__condition-observed__model-qwen3.5-9b/seed_6006/run/probe_events.jsonl.gz
6001,population=us|model=qwen3.5-4b|framing=neutral|scale_labels=default,0.9317632850241543,us,qwen3.5-4b,neutral,default,population-us__condition-observed__model-qwen3.5-4b,observed_norms/sweeps/runs/population-us__condition-observed__model-qwen3.5-4b/seed_6001/run/probe_events.jsonl.gz
