condition_id,kind,seed,model,population,condition,framing,scale_labels,probe_calls,dispersion_compression,absolute_mean_shift,compression_q1_family_importance,compression_q182_homosexuality,compression_q188_euthanasia,mean_shift_q1_family_importance,mean_shift_q182_homosexuality,mean_shift_q188_euthanasia,tar_event_member,tar_prompt_member
population-japan__condition-private,grid,6002,qwen3.5-27b-fp8,japan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-japan__condition-private/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-private/seed_6002/run/prompts_and_responses.jsonl.gz
population-japan__condition-private,grid,6003,qwen3.5-27b-fp8,japan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-japan__condition-private/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-private/seed_6003/run/prompts_and_responses.jsonl.gz
population-japan__condition-private,grid,6004,qwen3.5-27b-fp8,japan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-japan__condition-private/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-private/seed_6004/run/prompts_and_responses.jsonl.gz
population-japan__condition-private,grid,6005,qwen3.5-27b-fp8,japan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-japan__condition-private/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-private/seed_6005/run/prompts_and_responses.jsonl.gz
population-japan__condition-private,grid,6006,qwen3.5-27b-fp8,japan,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-japan__condition-private/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-private/seed_6006/run/prompts_and_responses.jsonl.gz
population-japan__condition-observed,grid,6001,qwen3.5-27b-fp8,japan,observed,neutral,default,144,0.08997584541062793,0.6250000000000001,0.0,-1.7155797101449277,1.9855072463768115,0.0,-1.041666666666667,-0.8333333333333335,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6001/run/prompts_and_responses.jsonl.gz
population-japan__condition-observed,grid,6002,qwen3.5-27b-fp8,japan,observed,neutral,default,144,0.4009661835748794,0.5277777777777781,0.0,-0.6086956521739126,1.8115942028985508,0.0,-0.7500000000000009,-0.8333333333333335,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6002/run/prompts_and_responses.jsonl.gz
population-japan__condition-observed,grid,6003,qwen3.5-27b-fp8,japan,observed,neutral,default,144,0.15458937198067613,0.5833333333333335,0.0,-1.4347826086956528,1.8985507246376812,0.0,-0.916666666666667,-0.8333333333333335,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6003/run/prompts_and_responses.jsonl.gz
population-japan__condition-observed,grid,6004,qwen3.5-27b-fp8,japan,observed,neutral,default,144,0.2095410628019326,0.5694444444444446,0.0,-1.2028985507246372,1.831521739130435,0.0,-0.8333333333333339,-0.875,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6004/run/prompts_and_responses.jsonl.gz
population-japan__condition-observed,grid,6005,qwen3.5-27b-fp8,japan,observed,neutral,default,144,0.3357487922705313,0.5277777777777781,0.0,-0.804347826086957,1.8115942028985508,0.0,-0.7500000000000009,-0.8333333333333335,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6005/run/prompts_and_responses.jsonl.gz
