condition_id,kind,game_variant,goal_framing,model,persona,instruction_wording,response_format,temperature,persona_format,runs,choices,mean_choice,mean_reasoning_depth,mass_17_19,mass_19_20,mass_17_20,h1_score,h3_score,entropy_bits,modal_choice,modal_share,unique_choices,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,js_to_basic,tv_to_basic,emd_to_basic,js_to_cycle,tv_to_cycle,emd_to_cycle,js_to_costless,tv_to_costless,emd_to_costless,js_to_own_anchor_descriptive_only,nearest_human_anchor,own_anchor_is_nearest,own_anchor_margin
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,variation,basic,strategic,qwen3.5-27b-fp8,neutral,default,default,0.5,tabular,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,variation,basic,strategic,qwen3.5-27b-fp8,neutral,default,bare-number,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-cautious,grid,basic,strategic,qwen3.5-4b,cautious,default,default,0.5,default,5,10,11.0,9.0,0.0,0.0,0.0,0.0,-0.5,-0.0,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936856147684368,0.96,0.6777777777777776,0.9770011750748849,0.985,0.8233333333333333,1.002496882788171,1.005,0.7777777777777777,0.936856147684368,basic,1,0.04014502739051695
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-competitive,grid,basic,strategic,qwen3.5-4b,competitive,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-intuitive,grid,basic,strategic,qwen3.5-4b,intuitive,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-strategic__model-qwen3.5-4b__persona-neutral,grid,basic,strategic,qwen3.5-4b,neutral,default,default,0.5,default,5,10,16.0,4.0,0.0,0.0,0.0,0.0,-0.5,-0.0,16,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9130603096129529,0.94,0.21555555555555556,0.9341838370759764,0.955,0.2922222222222222,0.9395208573810346,0.965,0.28444444444444444,0.9130603096129529,basic,1,0.021123527463023484
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-cautious,grid,basic,strategic,qwen3.5-9b,cautious,default,default,0.5,default,5,10,11.0,9.0,0.0,0.0,0.0,0.0,-0.5,-0.0,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936856147684368,0.96,0.6777777777777776,0.9770011750748849,0.985,0.8233333333333333,1.002496882788171,1.005,0.7777777777777777,0.936856147684368,basic,1,0.04014502739051695
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-competitive,grid,basic,strategic,qwen3.5-9b,competitive,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-intuitive,grid,basic,strategic,qwen3.5-9b,intuitive,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-strategic__model-qwen3.5-9b__persona-neutral,grid,basic,strategic,qwen3.5-9b,neutral,default,default,0.5,default,5,10,11.4,8.6,0.0,0.0,0.0,0.0,-0.5,0.9709505944546686,11,0.6,2,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444930802724579,0.96,0.6333333333333332,0.9613946893740575,0.975,0.7788888888888887,0.9530533368480838,0.965,0.7333333333333333,0.9444930802724579,basic,1,0.008560256575625869
