condition_id,kind,seed,model,persona_richness,action_prompt,interaction_pathway,persona_paraphrase,persona_order,model_decisions,executed_posts,extra_posts,multi_action_outputs,max_actions_in_one_output,jaccard_diversity,unique_text_ratio,mean_word_count,duplicate_text_ratio,strict_jaccard_diversity,strict_unique_text_ratio,strict_mean_word_count,strict_duplicate_text_ratio,tar_action_member,tar_prompt_member
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,grid,7005,qwen3.5-4b,generic,deliberate,closed,original,original,120,186,66,27,10,0.7535694528118295,0.3225806451612903,20.978494623655912,0.6774193548387097,0.7485997949241903,0.45,20.8,0.55,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7005/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7005/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,grid,7006,qwen3.5-4b,generic,deliberate,closed,original,original,120,196,76,20,25,0.8090495629023302,0.3826530612244898,20.382653061224488,0.6173469387755102,0.7597869883459254,0.425,20.733333333333334,0.575,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7006/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7006/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,grid,7007,qwen3.5-4b,generic,deliberate,closed,original,original,120,167,47,18,7,0.745889506599152,0.3592814371257485,23.251497005988025,0.6407185628742516,0.754986319154429,0.475,22.366666666666667,0.525,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7007/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7007/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,grid,7008,qwen3.5-4b,generic,deliberate,closed,original,original,120,151,31,13,6,0.7405926783709943,0.33112582781456956,22.70198675496689,0.6688741721854304,0.757766166613264,0.4166666666666667,22.825,0.5833333333333333,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7008/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7008/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,grid,7001,gemma-4-31b,generic,deliberate,closed,original,original,120,120,0,0,1,0.9001690136037853,0.8583333333333333,18.55,0.14166666666666672,0.9001690136037853,0.8583333333333333,18.55,0.14166666666666672,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7001/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7001/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,grid,7002,gemma-4-31b,generic,deliberate,closed,original,original,120,120,0,0,1,0.8913036467432648,0.825,16.308333333333334,0.17500000000000004,0.8913036467432648,0.825,16.308333333333334,0.17500000000000004,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7002/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7002/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,grid,7003,gemma-4-31b,generic,deliberate,closed,original,original,120,120,0,0,1,0.8914791922518447,0.825,16.9,0.17500000000000004,0.8914791922518447,0.825,16.9,0.17500000000000004,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7003/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7003/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,grid,7004,gemma-4-31b,generic,deliberate,closed,original,original,120,120,0,0,1,0.9007028309844152,0.7916666666666666,17.633333333333333,0.20833333333333337,0.9007028309844152,0.7916666666666666,17.633333333333333,0.20833333333333337,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7004/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7004/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,grid,7005,gemma-4-31b,generic,deliberate,closed,original,original,120,120,0,0,1,0.9029510302156243,0.9166666666666666,18.133333333333333,0.08333333333333337,0.9029510302156243,0.9166666666666666,18.133333333333333,0.08333333333333337,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7005/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7005/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b,grid,7006,gemma-4-31b,generic,deliberate,closed,original,original,120,120,0,0,1,0.9018901377345672,0.825,17.441666666666666,0.17500000000000004,0.9018901377345672,0.825,17.441666666666666,0.17500000000000004,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7006/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-gemma-4-31b/seed_7006/run/prompts_and_responses.jsonl.gz
